claim_id;ticker;claim_type;numeric_value;unit;source_excerpt;document_id;source_page;human_valid;human_type_correct;human_value_correct;human_ticker_correct;review_notes
CLAIM_05ee52584fcf;;CAPITAL_INCREASE;7483888613.2200;BRL;"aumento do capital social da Companhia, sem emissão de novas ações, 
no montante de R$7.483.888.613,22";IPE_23531_023531IPE291220250117150004-59_v1;1;;;;;
CLAIM_07c5d6424796;;CAPITAL_INCREASE;7483888613.2200;BRL;"aumento 
do capital social da Companhia, sem emissão de novas ações, no montante de 
R$7.483.888.613,22";IPE_23531_023531IPE291220250123649781-58_v1;1;;;;;
CLAIM_0acabecb5980;;CAPITAL_INCREASE;9300000000.0000;BRL;"aumento do capital social da Companhia, dentro do limite do capital autorizado, nos termos do artigo 
7o do Estatuto Social da Companhia , mediante a capitalização parcial do saldo da Reserva para 
Investimento e Expansão e da Reserva Legal no montante de R$ 9.300.000.000,00";IPE_20010_020010IPE221220250179899484-63_v1;1;;;;;
CLAIM_18e5769215dd;;DEBT_ISSUANCE;640000000.0000;BRL;"emissão de debêntures mandatoriamente conversíveis em 
ações, da espécie quirografária, em até 2 (duas) séries, da Companhia (“Debêntures” e 
“Emissão”, respectivamente), no valor total de até R$ 640.000.000,00";IPE_25160_025160IPE231220250145921118-47_v1;1;;;;;
CLAIM_18fde1cf34f3;;CAPITAL_INCREASE;1774724298.1000;BRL;"aumento do capital social, conforme deliberação a seguir; e R$1.774.724.298,10";IPE_19763_019763IPE221220250151830028-45_v1;1;;;;;
CLAIM_2216a15fc77e;;CAPITAL_INCREASE;310553.7500;BRL;"aumento do capital social, dentro 
do limite do capital autorizado da Companhia previsto no Artigo 5o, Parágrafo Primeiro, do Estatuto 
Social da Companhia, no montante total de R$ 310.553,75";IPE_4669_004669IPE221220250197801644-87_v1;1;;;;;
CLAIM_2949f581bede;;CAPITAL_INCREASE;200000000.0000;BRL;"aumento do capital social, 
no valor de R$ 200.000.000,00";IPE_26050_026050IPE291220250249606523-78_v2;1;;;;;
CLAIM_2f3850dc4907;;CAPITAL_INCREASE;200000000.0000;BRL;"aumento do capital social da Companhia, mediante a capitalização de parte do saldo 

 
 
contábil de reservas de lucros, no valor de R$ 200.000.000,00";IPE_26050_026050IPE291220250243737128-03_v2;1;;;;;
CLAIM_3335090f363a;;DEBT_ISSUANCE;200000000.0000;BRL;"emissão de 
debêntures da OrizonVR (“Debêntures ORVR”) e da 7a (sétima) emissão de debêntures da OMA (“Debêntures 
OMA”), ambas no valor de R$ 200.000.000,00";IPE_27049_027049IPE291220250125007446-92_v1;1;;;;;
CLAIM_3d7bd5655805;;JCP;0.2585;BRL_PER_SHARE;aprovou em Reunião do Conselho de Administração o pagamento de juros sobre o capital próprio no valor bruto de R$ 0,2585 por ação;IPE_22608_022608IPE161220250218381034-69_v2;1;;;;;
